type,datetext,date,chatter,isDocument
logging,"Aug. 18, 1988",08/18/1988,"DNR issues a stop-work order for a portion of Summit Timber's harvest, keeping the company from logging in the vicinity of the slide.",x
logging,"Sept. 1, 1988",09/01/1988,"Summit Timber writes the state, saying $750,000 to $1 million worth of timber is at stake. The state should consider the ""relatively inexpensive"" step of moving the river away from the hill, Summit says.",x
logging,"Oct. 12, 1988",10/12/1988,"A DNR hydrologist who visited the site says the ""slide is still active."" He recommends that logging be ""restricted to an area which does not encompass the groundwater drainage of the springs within the slide.""",x
logging,"Nov. 30, 1988",11/30/1988,"Report for DNR, co-authored by UW geologist Lee Benda, calls groundwater the slide's ""primary triggering mechanism"" and says past slides may have been linked to logging in 1940 and 1960. The report maps where logging should be restricted and recommends deleting 48 acres from Summit Timber's planned harvest.",x
logging,"Nov. 30, 1988",11/30/1988,"DNR allows Summit Timber to resume harvesting the 440 acres, except for the 48 acres outlined in Benda's report. Summit appeals denial of the 48 acres.",
logging,"Jan. 26, 1989",01/26/1989,"Pat Stevenson, environmental biologist for the Stillaguamish Tribe, opposes Summit Timber's appeal, citing the hill's ""potential for a massive failure."" He writes: ""[S]oil is the capital that yields a return in timber products. It won't help you if it all ends up in the river."" In the end, the disputed 48 acres are excluded from Summit's harvest.",x
logging,"Feb. 2, 1989",02/02/1989,"The state Department of Ecology writes DNR to say that logging above the slide ""will inevitably contribute additional water to the slope and decrease its stability. This is likely to increase the frequency and the magnitude of each failure.""",x
logging,Jan-97,1997,"Dan Miller, a geomorphologist, begins distributing a report that uses new tools to map where logging should be restricted near the slide. Miller's boundaries extend farther up the plateau than Benda's in 1988.",x
logging,"Dec. 5, 1997",12/05/1997,"DNR issues new logging restrictions; the department cites Miller's work, treating it as state of the art - but fails to incorporate his map, using Benda's older, less-restrictive boundaries.",x
flag,"Oct. 18, 1999",10/18/1999,"Dan Miller writes a report for the Army Corps of Engineers, warning of the hill's ""potential for a large catastrophic failure."" He recommends moving the river 900 feet south to keep it from eroding the hill's toe.",
flag,06-Apr-01,04/06/2001,"Tracy Drury, an environmental engineer, writes a report saying the unstable hill poses a ""significant risk to human lives and private property."" ""[C]atastrophic failure... may be imminent,"" he writes, providing ""need for immediate action."" Drury offers five alternatives that include a partial or complete buyout of properties near the hill.",
fix,04-Feb,02/04/2004,"Snohomish County considers a partial buyout, which would require $1.1 million to buy 75 parcels: The costs ""would be significant, but would remove the risk to human life and structures,"" a county analysis says. The county rejects the idea, opting instead to try to stabilize the slope.",x
logging,25-Jun-04,06/25/2004,"Grandy Lake Forest, a timber company, notifies DNR of plans to log on the hill's plateau. Its letter says the ""primary contributor to slide destabilization is the river"" and that the harvest ""will not be on any sensitive slide slopes.""",x
logging,28-Jun-04,06/28/2004,Grandy Lake applies to cut 15 acres on the plateau.,x
logging,23-Jul-04,07/23/2004,"Grandy Lake resubmits its application, shrinking the cut to 7.5 acres, to exclude acreage in a designated sensitive area. The company says a ""yellow ribbon line"" at the site marks the new boundary.",x
logging,"Aug. 23, 2004",08/23/2004,"DNR approves Grandy Lake's revised application, allowing it to harvest 7.5 acres. Had DNR used Miller's 1997 boundaries instead of the 1988 map, about five of the 7.5 acres would have been protected from logging.",
logging,"Oct. 26, 2004",10/26/2004,"A DNR official writes: ""Harvest done - in compliance"" on his field-inspection report. A Seattle Times analysis of geographical data and maps later suggests the cut went as much as 350 feet past the state boundary that was created because of landslide risks.",x
flag,"Jan. 31, 2006",01/31/2006,"A hydraulic engineer for Snohomish County writes in an email: ""Could additional slides run out further? Has this slide created additional instabilities at the upper end where further movement would be closest to existing homes?"" The email also suggests placing ""targets"" on the slide to detect movement in the future.",
flag,"Feb. 28, 2006",02/28/2006,"Jeff Jones, engineering geologist for Snohomish County's public works department, emails a department supervisor, John Engel, about an upcoming community meeting on the slide. Jones says he's ""not very familiar"" with the slide's history and adds: ""I think we have to discuss making predictions about future risks. It is almost certain that the slide will reactivate sometime in the future and maybe before we get to retire from the County.""",
flag,2006 (post slide),2006,"Engel responds to Jones' email: ""I agree that we don't want to make predictions. My thinking was to give them enough information to made educated decisions, and not think that all risks have gone away.""",
flag,"Feb. 27, 2006",02/27/2006,"At the Oso fire station, Dan Miller, the geomorphologist, presents a slide show for residents titled: ""The Hazel Landslide D&egrave;j&aacute; vu all over again."" One frame shows how a future slide might reach the Steelhead Haven neighborhood.",
fix,11-Mar-06,02/11/2006,"County officials brief residents on the landslide. A written outline of the meeting includes this line: ""Seek grants for buyout?"" A slideshow includes a frame on policy choices that asks ""Should we stay or should we go?""",x
fix,06-Jun-06,06/06/2006,"County officials consider applying for grants from a state program to elevate or even buy out properties in flood-prone areas. Engel, a Public Works supervisor, asks colleagues whether to add Oso to the list: ""I know there probably isn't enough money, but what about a partial acquisition at Steelhead landslide?""",x
fix,06-Jul,07/06/2006,"Using $1 million from the state, the Stillaguamish Tribe begins building a log barrier, called a crib wall, between the river and hill. Construction is finished later this summer. By isolating the slide, the log barrier is intended to help fish by reducing sediment. It's also intended to reduce ""the likelihood of catastrophic failure.""",
neighborhood,"Oct. 11, 2006",10/11/2006,"A group dedicated to water quality and salmon recovery discusses what can be done about the landslide. A meeting summary says: ""Disclosure by real estate agents is also an issue. A new homebuyer was not told about the landslide, when it had occurred only a week prior.""",
fix,Winter 2008,2008,"High water damages part of the log barrier, sinking it eight to 10 feet. At the same spot, the river scours out a 40 by 100 foot hole behind the crib wall. Where the river hits the logs with the most force, the material behind the wall becomes ""liquefied,"" accelerating erosion and downcutting.",
fix,2009,2009,"The Stillaguamish Tribe repairs the damage to the log barrier, reinforcing the wall with anchors and plugging the hole behind it with woody debris.",
logging,16-Mar-09,02/16/2009,"Grandy Lake applies to harvest 30 percent of the timber in a 240-acre territory north and west of the slide, using helicopters to salvage cedar. The state subsequently approves the request, and Grandy Lake removes about 20 percent of the trees.",
flag,10-Jul,07/10/2009,"A Hazard Mitigation Plan is prepared for Snohomish County, to comply with federal law. It identifies the hill as a landslide hazard zone.",
logging,14-Mar-11,02/14/2011,Grandy Lake gets approval to remove 15 percent more of the trees in the area that it applied to cut in 2009.,
fix,"Sept. 20, 2011",09/20/2011,"A report details further problems with the log barrier first repaired in 2009. Because of ""poorly aimed bottle rockets"" from neighborhood kids, part of the wall caught fire: ""Repairs were made with cable and hand tools the best we could."" Afterward, high water damaged this ""tortured section,"" ripping out a 70-foot hole. The tribe plugged the hole with a ""repair raft,"" built on the south side of the river and floated across.",
fix,2012,2012,A hydrologist for the U.S. Forest Service takes a photograph showing how part of the log barrier has fallen apart.,x
